temperature,frequency,phaseA_voltage,phaseA_current,phaseA_pwr_factor,phaseA_active,phaseA_reactive,phaseA_tc_config,phaseB_voltage,phaseB_current,phaseB_pwr_factor,phaseB_active,phaseB_reactive,phaseB_tc_config,phaseC_voltage,phaseC_current,phaseC_pwr_factor,phaseC_active,phaseC_reactive,phaseC_tc_config,time
52.0,60.0,221.6,3.5,0.8700000000000001,1362168000.0,195624000.0,POWCT-T16-150-333,221.2,3.65,0.8700000000000001,1431288000.0,159768000.0,POWCT-T16-150-333,221.3,3.6,0.8799999999999999,1368000000.0,121931999.99999999,POWCT-T16-150-333,2023-02-16 02:30:31
52.0,60.0,221.5,3.5,0.8700000000000001,1362168000.0,195624000.0,POWCT-T16-150-333,221.1,3.6,0.8700000000000001,1431288000.0,159768000.0,POWCT-T16-150-333,221.0,3.55,0.8700000000000001,1368000000.0,121931999.99999999,POWCT-T16-150-333,2023-02-16 02:31:37
52.0,60.0,221.2,3.5,0.8600000000000001,1362348000.0,195660000.0,POWCT-T16-150-333,220.9,3.6,0.8799999999999999,1431468000.0,159804000.0,POWCT-T16-150-333,221.0,3.55,0.8799999999999999,1368180000.0,121931999.99999999,POWCT-T16-150-333,2023-02-16 02:32:44
52.0,59.9,220.9,3.5,0.8600000000000001,1362348000.0,195660000.0,POWCT-T16-150-333,220.7,3.65,0.8799999999999999,1431468000.0,159804000.0,POWCT-T16-150-333,220.7,3.55,0.8799999999999999,1368180000.0,121931999.99999999,POWCT-T16-150-333,2023-02-16 02:33:51
