InletPressure,OutletPressure,OutletTemperature,InverterSpeed,Time
16.930580139160156,1011.1397705078125,83.30850219726562,4552.0,2023-02-16 02:29:31
17.123455047607422,1011.2303466796875,83.30850219726562,4578.0,2023-02-16 02:29:42
16.737577438354492,1010.5671997070312,83.38327026367188,4562.0,2023-02-16 02:29:53
16.93051528930664,1010.8988037109375,83.30850219726562,4568.0,2023-02-16 02:30:04
16.834047317504883,1010.868408203125,83.38327026367188,4567.0,2023-02-16 02:30:14
16.930538177490234,1010.6576538085938,83.30850219726562,4569.0,2023-02-16 02:30:25
16.93051528930664,1011.0496215820312,83.23367309570312,4558.0,2023-02-16 02:30:36
16.737577438354492,1010.8385009765625,83.30850219726562,4551.0,2023-02-16 02:30:46
16.930538177490234,1010.9288940429688,83.30850219726562,4568.0,2023-02-16 02:30:57
16.93051528930664,1010.5974731445312,83.53286743164062,4562.0,2023-02-16 02:31:08
16.834047317504883,1010.2656860351562,83.38327026367188,4564.0,2023-02-16 02:31:19
16.737598419189453,1010.9590454101562,83.38327026367188,4570.0,2023-02-16 02:31:51
16.93051528930664,1010.778076171875,83.38327026367188,4567.0,2023-02-16 02:32:01
17.123477935791016,1011.3209228515625,83.30850219726562,4552.0,2023-02-16 02:32:12
16.834068298339844,1010.83837890625,83.30850219726562,4564.0,2023-02-16 02:32:44
16.93051528930664,1011.1400146484375,83.38327026367188,4551.0,2023-02-16 02:32:55
17.026987075805664,1010.7783203125,83.30850219726562,4568.0,2023-02-16 02:33:06
17.026987075805664,1010.5671997070312,83.38327026367188,4550.0,2023-02-16 02:33:49
16.54463768005371,1011.29052734375,83.30850219726562,4562.0,2023-02-16 02:33:59
16.641109466552734,1010.6273803710938,83.30850219726562,4566.0,2023-02-16 02:34:32
17.026987075805664,1011.2001953125,83.38327026367188,4566.0,2023-02-16 02:34:42
